2021-12-02 15:58:04 startup archives unpack
2021-12-02 15:58:04 install libefivar1:amd64 <none> 34-1
2021-12-02 15:58:04 status triggers-pending libc-bin:amd64 2.27-3ubuntu1.4
2021-12-02 15:58:04 status half-installed libefivar1:amd64 34-1
2021-12-02 15:58:04 status unpacked libefivar1:amd64 34-1
2021-12-02 15:58:04 status unpacked libefivar1:amd64 34-1
2021-12-02 15:58:04 install libefiboot1:amd64 <none> 34-1
2021-12-02 15:58:04 status half-installed libefiboot1:amd64 34-1
2021-12-02 15:58:04 status unpacked libefiboot1:amd64 34-1
2021-12-02 15:58:04 status unpacked libefiboot1:amd64 34-1
2021-12-02 15:58:04 install efibootmgr:amd64 <none> 15-1
2021-12-02 15:58:04 status half-installed efibootmgr:amd64 15-1
2021-12-02 15:58:04 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2021-12-02 15:58:04 status unpacked efibootmgr:amd64 15-1
2021-12-02 15:58:05 status unpacked efibootmgr:amd64 15-1
2021-12-02 15:58:05 install grub-efi-amd64-bin:amd64 <none> 2.04-1ubuntu44.1.2
2021-12-02 15:58:05 status half-installed grub-efi-amd64-bin:amd64 2.04-1ubuntu44.1.2
2021-12-02 15:58:05 status unpacked grub-efi-amd64-bin:amd64 2.04-1ubuntu44.1.2
2021-12-02 15:58:05 status unpacked grub-efi-amd64-bin:amd64 2.04-1ubuntu44.1.2
2021-12-02 15:58:05 install grub-efi-amd64-signed:amd64 <none> 1.167~18.04.5+2.04-1ubuntu44.1.2
2021-12-02 15:58:05 status half-installed grub-efi-amd64-signed:amd64 1.167~18.04.5+2.04-1ubuntu44.1.2
2021-12-02 15:58:05 status unpacked grub-efi-amd64-signed:amd64 1.167~18.04.5+2.04-1ubuntu44.1.2
2021-12-02 15:58:05 status unpacked grub-efi-amd64-signed:amd64 1.167~18.04.5+2.04-1ubuntu44.1.2
2021-12-02 15:58:05 install mokutil:amd64 <none> 0.3.0+1538710437.fb6250f-0ubuntu2~18.04.1
2021-12-02 15:58:05 status half-installed mokutil:amd64 0.3.0+1538710437.fb6250f-0ubuntu2~18.04.1
2021-12-02 15:58:05 status unpacked mokutil:amd64 0.3.0+1538710437.fb6250f-0ubuntu2~18.04.1
2021-12-02 15:58:05 status unpacked mokutil:amd64 0.3.0+1538710437.fb6250f-0ubuntu2~18.04.1
2021-12-02 15:58:05 install sbsigntool:amd64 <none> 0.9.2-2ubuntu1~18.04.1
2021-12-02 15:58:05 status half-installed sbsigntool:amd64 0.9.2-2ubuntu1~18.04.1
2021-12-02 15:58:05 status unpacked sbsigntool:amd64 0.9.2-2ubuntu1~18.04.1
2021-12-02 15:58:05 status unpacked sbsigntool:amd64 0.9.2-2ubuntu1~18.04.1
2021-12-02 15:58:05 install secureboot-db:amd64 <none> 1.4~ubuntu0.18.04.1
2021-12-02 15:58:05 status half-installed secureboot-db:amd64 1.4~ubuntu0.18.04.1
2021-12-02 15:58:05 status unpacked secureboot-db:amd64 1.4~ubuntu0.18.04.1
2021-12-02 15:58:05 status unpacked secureboot-db:amd64 1.4~ubuntu0.18.04.1
2021-12-02 15:58:05 install shim-signed:amd64 <none> 1.37~18.04.11+15.4-0ubuntu9
2021-12-02 15:58:05 status half-installed shim-signed:amd64 1.37~18.04.11+15.4-0ubuntu9
2021-12-02 15:58:05 status unpacked shim-signed:amd64 1.37~18.04.11+15.4-0ubuntu9
2021-12-02 15:58:05 status unpacked shim-signed:amd64 1.37~18.04.11+15.4-0ubuntu9
2021-12-02 15:58:05 startup packages configure
2021-12-02 15:58:05 configure grub-efi-amd64-bin:amd64 2.04-1ubuntu44.1.2 <none>
2021-12-02 15:58:05 status unpacked grub-efi-amd64-bin:amd64 2.04-1ubuntu44.1.2
2021-12-02 15:58:05 status half-configured grub-efi-amd64-bin:amd64 2.04-1ubuntu44.1.2
2021-12-02 15:58:05 status installed grub-efi-amd64-bin:amd64 2.04-1ubuntu44.1.2
2021-12-02 15:58:05 configure libefivar1:amd64 34-1 <none>
2021-12-02 15:58:05 status unpacked libefivar1:amd64 34-1
2021-12-02 15:58:05 status half-configured libefivar1:amd64 34-1
2021-12-02 15:58:05 status installed libefivar1:amd64 34-1
2021-12-02 15:58:05 configure grub-efi-amd64-signed:amd64 1.167~18.04.5+2.04-1ubuntu44.1.2 <none>
2021-12-02 15:58:05 status unpacked grub-efi-amd64-signed:amd64 1.167~18.04.5+2.04-1ubuntu44.1.2
2021-12-02 15:58:05 status half-configured grub-efi-amd64-signed:amd64 1.167~18.04.5+2.04-1ubuntu44.1.2
2021-12-02 15:58:05 status installed grub-efi-amd64-signed:amd64 1.167~18.04.5+2.04-1ubuntu44.1.2
2021-12-02 15:58:05 configure sbsigntool:amd64 0.9.2-2ubuntu1~18.04.1 <none>
2021-12-02 15:58:05 status unpacked sbsigntool:amd64 0.9.2-2ubuntu1~18.04.1
2021-12-02 15:58:05 status half-configured sbsigntool:amd64 0.9.2-2ubuntu1~18.04.1
2021-12-02 15:58:05 status installed sbsigntool:amd64 0.9.2-2ubuntu1~18.04.1
2021-12-02 15:58:05 configure libefiboot1:amd64 34-1 <none>
2021-12-02 15:58:05 status unpacked libefiboot1:amd64 34-1
2021-12-02 15:58:05 status half-configured libefiboot1:amd64 34-1
2021-12-02 15:58:05 status installed libefiboot1:amd64 34-1
2021-12-02 15:58:05 configure mokutil:amd64 0.3.0+1538710437.fb6250f-0ubuntu2~18.04.1 <none>
2021-12-02 15:58:05 status unpacked mokutil:amd64 0.3.0+1538710437.fb6250f-0ubuntu2~18.04.1
2021-12-02 15:58:05 status half-configured mokutil:amd64 0.3.0+1538710437.fb6250f-0ubuntu2~18.04.1
2021-12-02 15:58:05 status installed mokutil:amd64 0.3.0+1538710437.fb6250f-0ubuntu2~18.04.1
2021-12-02 15:58:05 configure secureboot-db:amd64 1.4~ubuntu0.18.04.1 <none>
2021-12-02 15:58:05 status unpacked secureboot-db:amd64 1.4~ubuntu0.18.04.1
2021-12-02 15:58:05 status half-configured secureboot-db:amd64 1.4~ubuntu0.18.04.1
2021-12-02 15:58:05 status installed secureboot-db:amd64 1.4~ubuntu0.18.04.1
2021-12-02 15:58:05 configure efibootmgr:amd64 15-1 <none>
2021-12-02 15:58:05 status unpacked efibootmgr:amd64 15-1
2021-12-02 15:58:05 status half-configured efibootmgr:amd64 15-1
2021-12-02 15:58:05 status installed efibootmgr:amd64 15-1
2021-12-02 15:58:05 configure shim-signed:amd64 1.37~18.04.11+15.4-0ubuntu9 <none>
2021-12-02 15:58:05 status unpacked shim-signed:amd64 1.37~18.04.11+15.4-0ubuntu9
2021-12-02 15:58:05 status half-configured shim-signed:amd64 1.37~18.04.11+15.4-0ubuntu9
2021-12-02 15:58:05 status installed shim-signed:amd64 1.37~18.04.11+15.4-0ubuntu9
2021-12-02 15:58:05 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2021-12-02 15:58:05 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2021-12-02 15:58:06 status installed man-db:amd64 2.8.3-2ubuntu0.1
2021-12-02 15:58:06 trigproc libc-bin:amd64 2.27-3ubuntu1.4 <none>
2021-12-02 15:58:06 status half-configured libc-bin:amd64 2.27-3ubuntu1.4
2021-12-02 15:58:06 status installed libc-bin:amd64 2.27-3ubuntu1.4
2021-12-02 16:10:27 startup archives unpack
2021-12-02 16:10:27 install libpython2.7-minimal:amd64 <none> 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:27 status half-installed libpython2.7-minimal:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:27 status unpacked libpython2.7-minimal:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:27 status unpacked libpython2.7-minimal:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:27 install python2.7-minimal:amd64 <none> 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:27 status half-installed python2.7-minimal:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:28 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2021-12-02 16:10:28 status unpacked python2.7-minimal:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:28 status unpacked python2.7-minimal:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:28 install python-minimal:amd64 <none> 2.7.15~rc1-1
2021-12-02 16:10:28 status half-installed python-minimal:amd64 2.7.15~rc1-1
2021-12-02 16:10:28 status unpacked python-minimal:amd64 2.7.15~rc1-1
2021-12-02 16:10:28 status unpacked python-minimal:amd64 2.7.15~rc1-1
2021-12-02 16:10:28 install libpython2.7-stdlib:amd64 <none> 2.7.17-1~18.04ubuntu1.6
